name,female_name,tier
"Adept","Adept",4
"Arcanic","Arcanic",8
"Archdruid","Archdruid",7
"Archmage","Witch",2
"Atlas Vanguard","Athena Vanguard",8
"Attuner","Attuner",7
"Augur","Augur",4
"Bahamut","Bahamut",9
"Battle Master","Battle Master",3
"Battlemage","Battlemage",6
"Beowulf","Bestla",10
"Blademaster","Blademaster",6
"Centurion","Centurion",3
"Conjuror","Conjuress",3
"Deity","Deity",10
"Dragon Knight","Dragon Knightess",7
"Dragoon","Dragoness",5
"Druid","Druid",5
"Freyr","Freyja",8
"Frost Mage","Frost Mage",2
"Gaia","Gaia",8
"Gilgamesh","Gallia",10
"Gladiator","Gladiator",4
"Grand Attuner","Grand Attuner",8
"Grand Ifrit","Grand Ifrit",9
"Grand Mystic","Grand Mystic",6
"Grand Summoner","Grand Summoner",10
"Great Leviathan","Great Leviathan",9
"Heretic","Hera",10
"High Taranis","High Taranis",9
"Ifrit","Ifrit",8
"Knight","Knightess",2
"Legionnaire","Legionnaire",2
"Leviathan","Leviathan",8
"Mage","Mage",1
"Majestic","Majestic",5
"Majistrate","Majistrate",7
"Mystic","Mystic",4
"Nekromancer","Nekromagus",8
"Noble Gaia","Noble Gaia",9
"Nyx","Nyx",9
"Omnimancer","Omnimagus",9
"Paladin","Valkyrie",2
"Phalanx","Phalanx",3
"Realmshifter","Realmshifter",10
"Rogue","Rogue",2
"Royal Guard","Royal Guard",2
"Rune Knight","Rune Knightess",2
"Runeblade","Runeblade",4
"Scorcher","Scorchess",2
"Sorcerer","Sorcereress",3
"Spellsword","Spellsword",4
"Storm Knight","Storm Valkyrie",2
"Summoner","Summoner",9
"Taranis","Taranis",8
"Thief","Thief",1
"Titanguard","Titanguard",9
"Wanderer","Wanderess",2
"Warlock","Warlock",2
"Warlord","Warlord",3
"Warrior","Warrior",1
